city,date,state,text,polarity
Las Vegas,Thu Nov 26 23:00:54 +0000 2020,NV,"Happy Thanksgiving!!!  #thankful
#HappyThanksgiving #family #friends #food
#Spectacle #eyecare #eyewear… https://t.co/z7ng7JU6Zw",1.0
Greenacres,Thu Nov 26 23:00:59 +0000 2020,FL,"""You cut the turkey without me!!""

(""Avalon"")

Happy Thanksgiving to all. https://t.co/2L8I5A9JXv",0.8
Coon Rapids,Thu Nov 26 23:00:59 +0000 2020,MN,"Happy Thanksgiving!

Dickhead",1.0
Framingham,Thu Nov 26 23:01:00 +0000 2020,MA,Watched “Holiday Inn” #PBSonBroadway today after Thanksgiving dinner with my partner.   So enjoyable.,0.5
Gilbert,Thu Nov 26 23:01:01 +0000 2020,AZ,Thanksgiving with just my immediate main Bucks. It was nice not to have to smile and hide the eye twitch when well-… https://t.co/qKV6dbLhTI,0.35555555555555557
Hayward,Thu Nov 26 23:01:02 +0000 2020,CA,Happy Thanksgiving 🦃🤎 https://t.co/NDMeWBl14x,0.8
Los Angeles,Thu Nov 26 23:01:04 +0000 2020,CA,worst mistake to get all four wisdom teeth pulled before thanksgiving,-1.0
Preston,Thu Nov 26 23:01:04 +0000 2020,ID,@CoachWhiteISU Happy Thanksgiving Coach!,1.0
Cumberland,Thu Nov 26 23:01:05 +0000 2020,RI,When your trying time enjoy thanksgiving n then everyone starts talking about covid this covid that sooo annoying,-0.2
Castaic,Thu Nov 26 23:01:05 +0000 2020,CA,wait people outside of america celebrate thanksgiving?? how??,0.0
Big Bear Lake,Thu Nov 26 23:01:07 +0000 2020,CA,Happy Thanksgiving #HappyThanksgiving2020 #BeThankful #BetterTogether https://t.co/HntuNa0IMV,0.8
Dumont,Thu Nov 26 23:01:09 +0000 2020,NJ,Happy Thanksgiving from my family to yours!❤🙌🦃🥮🥗🥘 https://t.co/HOkm1Iei1X,0.8
Brooklyn,Thu Nov 26 23:01:10 +0000 2020,NY,@SondreLerche I am at thanksgiving dinner with my friend @christaleisays and we are wondering what your BIRTH TIME… https://t.co/QQSGYf35in,0.0
Leesburg,Thu Nov 26 23:01:10 +0000 2020,VA,Hanging out with my mom on thanksgiving. 😊,0.0
San Francisco,Thu Nov 26 23:01:11 +0000 2020,CA,"Thanksgiving in our home brings together three families, their kids, &amp; friends. 

It's a boisterous evening filled… https://t.co/p6vKk66e7H",0.0
Reno,Thu Nov 26 23:01:12 +0000 2020,NV,@nevadaleo032 Happy thanksgiving brother,0.8
Temecula,Thu Nov 26 23:01:13 +0000 2020,CA,@StephenKing Happy Happy Thanksgiving to YOU TOO !! 🎚❤️🌷,0.9
Big Bear Lake,Thu Nov 26 23:01:14 +0000 2020,CA,@millecrepe_x3 Thank you!  Happy thanksgiving girl!! ❣️,1.0
Middletown,Thu Nov 26 23:01:14 +0000 2020,NY,This #thanksgiving I’m on a mission from God! 😉 https://t.co/9omEgag4uu,0.0
Falls Church,Thu Nov 26 23:01:15 +0000 2020,VA,"Another beautiful #sunset ❤️💙
Thankful for #nature and a lot more. 
Happy #Thanksgiving 🍁🦃🍁 https://t.co/pvUOVnabuP",0.7166666666666668
Bealeton,Thu Nov 26 23:01:15 +0000 2020,VA,happy thanksgiving! i let my mom rest this year and cooked the whole meal ❤️ https://t.co/V5JrM1iqng,0.6
Los Angeles,Thu Nov 26 23:01:16 +0000 2020,CA,no thanksgiving pictures this year y’all i’m in my robe as i type this,0.0
Wayne,Thu Nov 26 23:01:17 +0000 2020,NJ,Wishing a safe &amp; connective Thanksgiving to all amidst a challenging year. With open eyes re: the origins of the ho… https://t.co/YmnC0KBOaT,0.3333333333333333
Murrieta,Thu Nov 26 23:01:18 +0000 2020,CA,"Happy Thanksgiving, Everyone! We are so thankful for all of your support and encouragement we’ve received throughou… https://t.co/rDQyv3ORFG",1.0
Cabot,Thu Nov 26 23:01:19 +0000 2020,AR,Thanksgiving is time to reflect over the past year and all that you have to be thankful for. It’s also time to spen… https://t.co/4pAPB1czLV,-0.25
Culver City,Thu Nov 26 23:01:20 +0000 2020,CA,"Messy auntie: Still keeping that weight on.
Me: And you still keeping that mustache. 
#thanksgivingclapbacks",-0.2
Bronx,Thu Nov 26 23:01:22 +0000 2020,NY,"HAPPY THANKSGIVING TO ALL MY FAMILY AND FRIENDS 
#happythanksgivingday🦃🍁🍂 
#GODBLESS @ Bronx, NY https://t.co/RXDwACKsiW",0.8
Bronx,Thu Nov 26 23:01:22 +0000 2020,NY,"Truly Blessed Happy Thanksgiving Everyone 🙏🏿🙏🏿🙏🏿🤘🏿🤴🏿💯 @ Bronx, NY https://t.co/RPvbCDJ8vB",0.8
Lemay,Thu Nov 26 23:01:23 +0000 2020,MO,@buffa82 You read my mind Dan. Enjoy. Happy Thanksgiving to you and the fam.,0.6000000000000001
Tustin,Thu Nov 26 23:01:23 +0000 2020,CA,@SharonSambito @Bill_Maxwell_ You are “cool” doing Thanksgiving dinner for every. Happy Thanksgiving,0.575
Irving,Thu Nov 26 23:01:24 +0000 2020,TX,another thanksgiving and won’t be able to get drunk 😔,0.0
Bell,Thu Nov 26 23:01:25 +0000 2020,CA,i hope your having a good thanksgiving @KristoferYee 🙌🏻,0.7
Arlington,Thu Nov 26 23:01:28 +0000 2020,TX,@RebeccaRennerFL Happy Thanksgiving!,1.0
Bryant,Thu Nov 26 23:01:29 +0000 2020,AR,Happy Thanksgiving from the Olsons @ndosports #HappyThanksgiving2020 https://t.co/TlvE17qD3o,0.8
Snoqualmie,Thu Nov 26 23:01:29 +0000 2020,WA,"Happy Thanksgiving 🍁🦃, @staceyabrams . Love you! ❤️🤍💙 keep up the good work.",0.7083333333333334
Wayne,Thu Nov 26 23:01:29 +0000 2020,NJ,Happy Thanksgiving and blessings to our friends at @RFGAdvisory @sspotswoodrfg #CRUSHINGIT,0.8
Fort Worth,Thu Nov 26 23:01:30 +0000 2020,TX,"Thanksgiving 2020 

*me looking at a biscuit*

My dad: i hope you find a man that looks at you the way you look at biscuits",0.0
Pinewood,Thu Nov 26 23:01:31 +0000 2020,FL,Happy Thanksgiving y’all boysssss,0.8
Pompano Beach,Thu Nov 26 23:01:33 +0000 2020,FL,@mikepompeo Happy Thanksgiving! https://t.co/cISajhBVaJ,1.0
Bronx,Thu Nov 26 23:01:33 +0000 2020,NY,@srpebble @LucarioTheHero Have a nice Thanksgiving to you to,0.6
Paradise,Thu Nov 26 23:01:34 +0000 2020,NV,"I eat a can of beans on #Thanksgiving. the idea for this tradition goes back to when I was a kid at church, we used… https://t.co/Wji7s0uORt",0.0
Fayetteville,Thu Nov 26 23:01:34 +0000 2020,NC,I’m sick on thanksgiving so the only thanksgiving food I’ve eaten is gluten free corn bread. #2020,-0.10476190476190476
Lubbock,Thu Nov 26 23:01:35 +0000 2020,TX,"••• Before &amp; After •••
Thanksgiving 2020 Edition 
It’s safe to say these boys like Thanksgiving food!… https://t.co/MbXLtxGkvt",0.5
Elkhart,Thu Nov 26 23:01:36 +0000 2020,IN,"@Natislastinline @espn @Knox_HGA I can’t agree more , he left us stunned one thanksgiving wondering where the peanu… https://t.co/9TPdK5NNlt",0.25
San Antonio,Thu Nov 26 23:01:36 +0000 2020,TX,happy thanksgiving friends 🦃 https://t.co/hCOvbK7ezk,0.8
Chicago,Thu Nov 26 23:01:37 +0000 2020,IL,"#AzariaDestinee #Thanksgiving2020 🦃👶🏽🥰 @ West Side, Chicago https://t.co/TC7mET04D7",0.0
Tampa,Thu Nov 26 23:01:38 +0000 2020,FL,"@stillgray You are not American, have never been to America, and have never celebrated Thanksgiving",-0.0875
